NAZCOBCE;PSC;NAZPOST;KODOKRESU;NAZOKRESU;NAZOBCE
Abertamy;36235;Abertamy;3403;Karlovy Vary;Abertamy
Adamov;54232;Upice;3610;Trutnov;Trutnov
Adamov;67904;Adamov 1;3701;Blansko;Adamov
Adamov;28601;Caslav;3205;Kutna Hora;Adamov
Adamov;37371;Rudolfov;3301;Ceske Budejovice;Adamov
Adolfovice;79001;Jesenik 1;3811;Jesenik;Bela pod Pradedem
Alber;37833;Nova Bystrice;3303;Jindrichuv Hradec;Nova Bystrice
Alberice;36452;Zlutice;3403;Karlovy Vary;Verusicky
Alberovice;25765;Cechtice;3201;Benesov;Loket
Albrechtice;34201;Susice 1;3404;Klatovy;Susice
Albrechtice;38901;Vodnany;3307;Strakonice;Drahonice
Albrechtice;28401;Kutna Hora 1;3205;Kutna Hora;Malesov
Albrechtice;46345;Pencin u Liberce;3505;Liberec;Pencin
Albrechtice;59257;Rozsochy;3714;Zdar nad Sazavou;Rozsochy
Albrechtice;56301;Lanskroun;3611;Usti nad Orlici;Albrechtice
Albrechtice;73543;Albrechtice u Ceskeho Tesina;3803;Karvina;Albrechtice
Albrechtice nad Orlici;51722;Albrechtice nad Orlici;3607;Rychnov nad Kneznou;Albrechtice nad Orlici
Albrechtice nad Vltavou;39816;Albrechtice nad Vltavou;3305;Pisek;Albrechtice nad Vltavou
Albrechtice u Frydlantu;46331;Chrastava;3505;Liberec;Frydlant
Albrechtice u Rymarova;79351;Bridlicna;3801;Bruntal;Bridlicna
Albrechtice v Jizerskych horach;46843;Albrechtice v Jizerskych horach;3504;Jablonec nad Nisou;Albrechtice v Jizerskych horach
Albrechticky;74255;Albrechticky;3804;Novy Jicin;Albrechticky
Albrechtovice;38301;Prachatice;3306;Prachatice;Zablati
Aleje-Zatisi;35002;Cheb 2;3402;Cheb;Frantiskovy Lazne
Alenina Lhota;39133;Jistebnice;3308;Tabor;Jistebnice
Alexovice;66491;Ivancice;3703;Brno-venkov;Ivancice
Alojzov;79804;Urcice;3709;Prostejov;Alojzov
Alsovice;46821;Bratrikov;3504;Jablonec nad Nisou;Pencin
Alzbetin;34004;Zelezna Ruda;3404;Klatovy;Zelezna Ruda
Amalin;79397;Slezske Rudoltice;3801;Bruntal;Slezske Rudoltice
Amerika;25901;Votice;3201;Benesov;Votice
Andelice;33901;Klatovy 1;3404;Klatovy;Dolany
Andelka;46373;Habartice u Frydlantu;3505;Liberec;Visnova
Andelska Hora;46331;Chrastava;3505;Liberec;Chrastava
Andelska Hora;36471;Bochov;3403;Karlovy Vary;Andelska Hora
Andelska Hora;79331;Svetla Hora;3801;Bruntal;Andelska Hora
Andel Strazce;46342;Hodkovice nad Mohelkou;3504;Jablonec nad Nisou;Frydstejn
Anenska Studanka;56301;Lanskroun;3611;Usti nad Orlici;Anenska Studanka
Anenska Ves;35709;Habartov;3409;Sokolov;Krajkova
Annin;34201;Susice 1;3404;Klatovy;Dlouha Ves
Annin-Tovacov II x);75101;Tovacov;3808;Prerov;Tovacov
Annovice;37821;Kardasova Recice;3303;Jindrichuv Hradec;Drunce
Antoninov;46844;Josefuv Dul;3504;Jablonec nad Nisou;Josefuv Dul
Antoninova Vysina;35002;Cheb 2;3402;Cheb;Vojtanov
Antoninuv Dul;58601;Jihlava 1;3707;Jihlava;Jihlava
Antonka;39470;Kamenice nad Lipou;3304;Pelhrimov;Kamenice nad Lipou
Antosovice;71100;Ostrava 11;3807;Ostrava-mesto;Ostrava
Archlebov;69633;Archlebov;3706;Hodonin;Archlebov
Arnestovice;39501;Pacov;3304;Pelhrimov;Arnestovice
Arnoldov;36251;Jachymov;3403;Karlovy Vary;Ostrov
Arnolec;58827;Jamne u Jihlavy;3707;Jihlava;Arnolec
Arnoltice;79351;Bridlicna;3805;Olomouc;Huzova
Arnoltice;46401;Frydlant v Cechach;3505;Liberec;Bulovka
Arnoltice;40714;Arnoltice u Decina;3502;Decin;Arnoltice
Arnoltov;35601;Sokolov 1;3409;Sokolov;Brezova
Arnostka;38501;Vimperk;3306;Prachatice;Vimperk
Arnostov;50782;Pecka;3604;Jicin;Pecka
Arnostov;38301;Prachatice;3306;Prachatice;Kristanov
Arnostovice;25789;Hermanicky;3201;Benesov;Hermanicky
Arnultovice;47301;Novy Bor;3501;Ceska Lipa;Novy Bor
Arnultovice;54372;Rudnik u Vrchlabi;3610;Trutnov;Rudnik
Arnultovice;79383;Jindrichov u Krnova;3801;Bruntal;Jindrichov
Arnultovice;40002;Usti nad Labem 2;3510;Usti nad Labem;Velke Chvojno
Artolec;37833;Nova Bystrice;3303;Jindrichuv Hradec;Nova Bystrice
